amount,sender_balance,receiver_balance,transaction_hour,day_of_week,last_24h_tx_count,device_change_flag,country_change_flag,is_fraud
23.46,816.79,1120.92,21,2,1,0,0,0
150.51,1102.65,998.74,12,2,1,1,0,0
65.84,1776.39,528.46,15,5,2,1,0,1
45.65,732.26,1821.8,12,1,2,0,0,0
8.48,1749.08,1429.87,3,4,1,0,0,0
8.48,193.87,2597.1,3,6,3,1,1,1
2.99,1558.82,96.33,10,0,1,1,0,1
100.56,1797.18,1931.6,22,1,2,0,1,0
45.95,417.77,2288.85,13,1,5,1,1,0
61.56,927.95,2278.46,2,1,3,0,1,0
1.04,340.38,2658.22,18,1,4,0,1,0
175.18,1591.32,2187.1,21,4,4,1,0,0
89.32,1164.66,2783.43,0,5,1,1,1,1
11.93,1286.22,997.97,4,3,0,0,1,0
10.03,411.04,1509.63,16,6,2,0,1,0
10.13,441.5,42.24,0,1,2,0,0,0
18.14,110.72,20.87,18,6,0,0,1,0
37.2,688.11,720.38,18,1,3,0,0,0
28.28,1152.17,302.42,3,0,2,0,0,0
17.21,1734.5,780.63,18,2,2,1,1,1
47.32,1384.51,531.13,5,4,2,1,1,0
7.51,883.95,85.56,14,1,2,0,1,0
17.28,1923.99,2727.91,3,3,1,1,1,1
22.81,1464.11,24.67,23,3,2,0,0,0
30.45,1891.48,2208.25,0,3,1,0,1,0
76.9,1136.8,456.44,23,0,1,0,0,0
11.14,536.36,2736.69,16,3,0,1,0,0
36.1,151.23,2678.39,10,5,5,1,0,1
44.88,1499.79,1961.7,16,0,2,0,0,0
2.38,253.77,2016.7,22,4,4,0,1,1
46.77,659.29,16.02,0,3,1,1,0,0
9.35,1078.97,2954.61,8,2,2,1,0,0
3.36,1136.55,2633.5,13,1,3,0,1,0
148.68,1353.84,2685.32,14,4,2,0,1,0
168.53,509.38,1977.73,23,5,1,1,1,1
82.62,848.3,1034.36,0,2,4,1,1,0
18.16,1256.38,2680.95,1,4,1,0,0,0
5.14,1945.08,874.55,17,5,1,0,0,0
57.64,1515.63,1688.13,17,3,3,0,0,0
29.0,1874.98,299.19,5,4,1,0,0,0
6.51,1533.31,2765.87,19,4,2,0,0,0
34.18,1221.7,422.31,7,4,2,0,0,0
1.75,393.88,674.69,0,0,0,1,1,0
120.02,1456.72,1674.4,14,2,4,1,1,1
14.97,1265.5,2292.28,9,6,1,1,0,1
54.31,1263.22,1858.05,3,5,1,0,0,0
18.68,1003.35,696.4,9,3,1,0,0,0
36.71,1098.74,2.83,10,1,2,1,0,0
39.56,715.1,2271.45,4,3,3,1,0,0
10.22,1053.65,2955.62,8,3,1,0,1,0
174.64,577.78,2429.74,4,0,1,1,1,1
74.61,1686.91,1380.62,10,0,1,1,1,1
140.25,519.95,2711.3,2,4,1,0,0,0
112.61,291.69,1229.54,3,3,1,1,0,1
45.55,923.68,1574.8,9,2,6,1,1,1
127.47,1447.5,1431.39,6,0,1,1,0,0
4.63,885.69,1342.87,0,5,4,0,0,0
10.91,571.65,2325.57,5,0,3,0,0,0
2.31,1123.07,1580.31,7,2,3,1,0,1
19.68,720.21,950.15,16,0,2,1,1,1
24.61,1891.02,774.47,23,6,1,0,0,0
15.83,1861.89,113.24,6,2,1,0,1,1
88.23,1097.95,1749.59,0,6,2,0,0,0
22.06,684.55,689.88,8,6,3,0,1,0
